0,nombres_productos,precios,categoria,imagenes
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Tilapia 3/5 en Paquete X Paquete x 1 kg ,$ 26.900                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/LXNM011420210313_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Tilapia 5/7 a Granel X Kilogramo ,$ 26.900                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/QHLL022820221039_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Tilapia 7/9 a Granel X Kilogramo ,$ 26.900                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3499_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Tilapia 9/11 a Granel X Kilogramo ,$ 28.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/KANW091020200354_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete Blanco X Kilogramo ,$ 22.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/FFVG020820200945_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Orange 454 g X Paquete x 454 g ,$ 46.400                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/CEMA112620200352_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Lenguado X Kilogramo ,$ 83.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3496_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete de Róbalo Nacional X Kilogramo ,$ 55.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3524_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Lomito de Róbalo 600 g X Paquete x 600 g ,$ 9.200                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3477_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Atún / Tuna Lomo X Kilogramo ,$ 58.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/HCDF020820200950_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Atún / Tuna Steak Grande X Kilogramo ,$ 63.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3512_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Atún en Trozos X Unidad x 500 g ,$ 30.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/FQJC112320220857_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Trucha Deshuesada X Kilogramo ,$ 20.200                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/LBFK122820190328_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Filete en Trozos X Kilogramo ,$ 18.000                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/B5A3515_400.jpg
https://hipermarfish.com/market/productos/filetes-y-lomos,Carpaccio de Salmón 160 g X Unidad x 160 g ,$ 16.500                          ,FILETES Y LOMOS,https://hipermarfish.com/public/images/productos/TFBQ110420210347_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Maletín Térmico Hipermar X Unidad ,$ 140.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/SGBQ033120220743_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Bolsa Térmica X Unidad ,$ 80.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/ZHAM011820220931_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Esterilla Profesional X Unidad ,$ 250.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/OOBT031720220827_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Esterilla X Unidad ,$ 4.100                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/MZZY020820200850_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Piedra de Afilar Japonesa X Unidad ,$ 200.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/WYAS020220220149_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Barco para Sushi 70x25 X Unidad ,$ 209.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/RHFB052820201107_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Barco para Sushi 90x32 X Unidad ,$ 240.900                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3019_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Puente para Sushi 60x25x13 X Unidad ,$ 159.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3013_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Puente para Sushi 43x22x12 X Unidad ,$ 134.800                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3013_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Vaporera 12x12 X Unidad ,$ 63.900                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/GKSS121920191003_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Vaporera 10x10 X Unidad ,$ 55.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/XKKW121920191002_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Vaporera 8x8 X Unidad ,$ 49.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/ZYTC121920191000_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Vaporera 6x6 X Unidad ,$ 45.700                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/PXDI121920190946_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Pinzas para Muelas X Unidad ,$ 13.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3204_400.jpg
