0,categoria,precios,imagenes,skus,nombres_productos
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DE LA ROPA,2300,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083835",83835,BLANQUEADOR DOÑA LUPE CORRIENTE *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DE LA ROPA,7150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083832",83832,DETERGENTE DOÑA LUPE FLORAL LIQUIDO *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,17950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083831",83831,LAVALOZA DOÑA LUPE LIMON *3000g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,3450,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083830",83830,LAVALOZA DOÑA LUPE LIMON *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,4850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083829",83829,LAVALOZA DOÑA LUPE LIMON LIQUIDO *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DE LA ROPA,4550,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083827",83827,SUAVIZANTE DOÑA LUPE PRIMAVERAL *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,10650,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083825",83825,LIMPIADOR DOÑA LUPE MULTIUSOS LAVANDA *5000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,3150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083824",83824,LIMPIADOR DOÑA LUPE MULTIUSOS LAVANDA *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,35550,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/080467",80467,ACEITE DOÑA LUPE GIRASOL *3000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,11450,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/080466",80466,ACEITE DOÑA LUPE GIRASOL *900ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,22850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/078676",78676,ACEITE DOÑA LUPE SOYA *2000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,10500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/078675",78675,ACEITE DOÑA LUPE SOYA *900ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,2850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/078376",78376,BOLSA DOÑA LUPE NEGRA 65*90cm *10und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,29350,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075745",75745,ACEITE DOÑA LUPE OLIVA EXTRA VIRGEN *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,16950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075742",75742,ACEITE DOÑA LUPE OLIVA EXTRA VIRGEN *500ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO PERSONAL,5650,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075598",75598,JABON DOÑA LUPE AVENA *125g*3und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO PERSONAL,1850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075597",75597,JABON DOÑA LUPE ANTIBACTERIAL *125g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO PERSONAL,1950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075596",75596,JABON DOÑA LUPE FINA PERFUMACION *125g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO PERSONAL,1950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075595",75595,JABON DOÑA LUPE AVENA *125g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,3950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/075592",75592,ACEITE DOÑA LUPE CANOLA *500ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,7500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/073610",73610,ACEITE DOÑA LUPE CANOLA *980ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,4550,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/072065",72065,PANELA DOÑA LUPE REDONDA *500g*2und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,5550,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/068777",68777,PANELA DOÑA LUPE REDONDA *125g*8und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,26500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/066443",66443,ARROZ DONA LUPE*6250g MEDIA ARROBA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,5150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/064070",64070,ATUN DOÑA LUPE TROCITOS ACEITE *170g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,54850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/052184",52184,ACEITE DOÑA LUPE SOYA *5000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,2300,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/047939",47939,PANELA DOÑA LUPE REDONDA *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,LACTEOS Y REFRIGERADOS,2950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/041993",41993,AREPAS DOÑA LUPE CON SAL *800g*10und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,LACTEOS Y REFRIGERADOS,2950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/041992",41992,AREPAS DOÑA LUPE SIN SAL *800g*10und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,21400,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/041580",41580,ARROZ DOÑA LUPE *5000g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,2100,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/031771",31771,MAIZ DOÑA LUPE BLANCO EXTRA *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,1200,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/031568",31568,ARVEJA DOÑA LUPE SECA *250g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,5950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/028430",28430,ACEITE DOÑA LUPE SOYA *500ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,32950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/028376",28376,ACEITE DOÑA LUPE SOYA *3000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,11450,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/028339",28339,ACEITE DOÑA LUPE DE SOYA *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,51500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/027732",27732,ARROZ DOÑA LUPE ARROBA *12500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,10750,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/027701",27701,ARROZ DOÑA LUPE *2500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,42700,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/027409",27409,ARROZ DONA LUPE TALEGA *10000g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,LACTEOS Y REFRIGERADOS,3650,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/026152",26152,LECHE DOÑA LUPE ENTERA *1100ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,11500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/012882",12882,AZUCAR DOÑA LUPE BLANCA *2500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,4600,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/010554",10554,AZUCAR DOÑA LUPE MORENA *1000g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,9600,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/010097",10097,FRIJOL DOÑA LUPE BOLON ROJO *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,2200,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007927",7927,ARROZ DOÑA LUPE *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,3800,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007878",7878,LENTEJA DOÑA LUPE N.1 *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,3950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007814",7814,GARBANZO DOÑA LUPE *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,7850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007800",7800,FRIJOL DOÑA LUPE CARGAMANTO ROJO *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,3650,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007798",7798,FRIJOL DOÑA LUPE CARAOTA *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,6550,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007797",7797,FRIJOL DOÑA LUPE CALIMA *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,4000,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007789",7789,BLANQUILLO DOÑA LUPE *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,2350,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007787",7787,ARVEJA DOÑA LUPE SECA*500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA DESAYUNO,25850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/093184",93184,LECHE ENTERA DOÑA LUPE EN POLVO *900g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,10900,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083848",83848,LIMPIA VIDRIO DONA LUPE*3800ml BR/MARIN
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,4950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/083847",83847,LIMPIA VIDRIO DONA LUPE*1000ml BR/MARIN
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,1400,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/031785",31785,MAIZ PIRA DOÑA LUPE *250g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,2750,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/007818",7818,MAIZ PIRA DOÑA LUPE *500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CARNES FRESCAS,4900,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/099211",99211,ZUMO DE COCO DOÑA LUPE PREMIUM *250ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,LACTEOS Y REFRIGERADOS,13300,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/088175",88175,AREPAS DON MAIZ*400g SUPER ESPE QUESO
